FARM,MILK_93,MILK_94,MILK_95,MILK_96,MILK_97,MILK_98
1,73647,91260,118498,111454,110419,131197
2,118149,127742,146490,163434,163603,169540
3,102445,129938,134282,132594,140581,182037
4,405042,489134,526054,545834,570261,543844
5,111642,103142,126711,146585,144745,125715
6,151536,161790,186542,168885,159389,169946
7,132624,170163,206356,228979,236043,236429
8,147230,176428,205493,198484,192819,216856
9,430663,449932,516969,572678,597944,608132
10,230278,233134,278649,302065,293232,283802
11,136605,123832,147739,155143,168044,171030
12,156198,189529,206070,236732,235459,237510
13,142121,168558,221326,241494,291315,414293
14,158383,180938,197301,219867,245524,266912
15,61205,66821,62141,72327,81533,63811
16,159331,169039,185685,251147,276777,358037
17,56604,63047,75368,84677,103247,101871
18,70498,76068,86609,87503,105190,120343
19,68656,85475,91897,125359,110366,159393
20,102875,113146,133293,152504,145430,140072
21,128275,138035,161272,208072,231067,224115
22,122110,132216,155083,177265,196397,205320
23,94911,89555,103752,102163,97570,94834
24,239764,241284,239579,249157,294379,318806
25,66459,100440,103840,154112,155453,161507
26,262341,310944,351261,368304,397113,402334
27,201075,192701,184437,201490,212118,205076
28,68775,71929,91989,109268,115511,132675
29,92509,79001,118745,132312,138769,149184
30,158389,180413,167969,181458,185441,160281
31,294965,306384,350133,358799,379130,431249
32,220816,223973,236182,278566,254561,282256
33,246913,282645,306118,332560,311433,368880
34,144648,157965,176991,195148,235134,246469
35,124901,137739,148819,161137,186897,227340
36,64116,89024,102282,135459,130058,163539
37,139780,149128,189931,208127,189909,170262
38,303212,359338,459991,477194,465870,456419
39,165685,188637,208905,215682,217624,235276
40,108251,117053,107479,124669,118763,117746
41,97799,114858,121033,128672,119845,106464
42,168426,191495,197570,222086,253228,265836
43,96642,111369,142649,156788,168810,177212
44,83454,68088,93294,95376,86690,76069
45,126501,142799,153674,181657,172410,178351
46,149861,144398,149103,150461,142937,186293
47,117749,133453,148581,182641,194849,189617
48,143752,169439,172722,200555,210874,217479
49,40195,42033,53494,64925,58732,72458
50,212537,220968,210684,231971,239966,223246
51,91788,87086,101480,89866,101366,118751
52,145458,137181,165748,176444,185069,228520
53,92000,77722,83191,103016,95665,111648
54,153502,183857,168202,201890,239885,311775
55,77377,87513,111518,132075,130170,133867
56,91085,87891,88279,108385,104254,105328
57,46722,38307,42209,49157,43256,40505
58,115382,134944,134655,148649,140901,141496
59,47362,58997,55559,66397,67411,80004
60,60151,70246,86216,96838,98929,123523
61,48526,41456,44591,49187,46341,59214
62,127212,126323,128568,106210,120569,125721
63,257481,278270,335568,406505,467229,569132
64,144429,153349,175833,175053,185832,183420
65,29868,35904,42769,46247,55549,84049
66,56629,87290,100015,134213,111325,149646
67,69561,106138,96752,110913,110106,117561
68,89644,110068,138813,154970,176359,175023
69,113526,156385,164804,148180,170276,180615
70,133342,147176,153230,185939,218385,211659
71,61836,69410,76916,79717,91551,81324
72,103131,128100,158958,144000,188347,197961
73,131510,123617,147778,154571,161788,154189
74,56779,69778,86802,117845,126727,136447
75,85924,96115,105212,129950,173268,190656
76,150947,161463,191864,178452,190644,240336
77,119857,148563,161314,202598,202727,213406
78,101240,116427,123304,141977,140016,191761
79,96729,98131,87795,93597,111766,111917
80,317973,349509,373425,402145,492432,569579
81,222636,265124,280002,313488,329717,316835
82,109672,120285,128232,125425,119888,101842
83,76931,90057,98054,94705,103879,96744
84,94274,113148,108445,121076,131425,121842
85,164659,192905,197719,202652,182024,180182
86,212850,214880,266298,313925,373146,391698
87,166136,200692,218833,218408,184162,188317
88,121114,208919,222730,263337,306988,320146
89,101200,123179,125192,125800,136348,112167
90,52301,53574,59419,54667,54709,37834
91,126415,156056,197435,213849,207926,222669
92,82142,89215,83826,127751,154177,163901
93,169966,173903,170411,182413,202142,213161
94,147124,160354,179728,169402,265554,338774
95,47565,51650,53357,51205,50827,51678
96,62397,120512,163289,233432,294239,362972
97,124052,145907,157645,175163,171999,196110
98,121060,135471,130575,138587,143896,153923
99,79584,110718,102661,107520,113544,133871
100,83123,86568,111794,146318,158720,161469
101,114588,118676,128025,119708,140039,138948
102,127448,127296,124273,236206,352677,490370
103,260264,265195,303675,396624,400198,418016
104,119760,165188,153964,162185,162898,163539
105,49444,51865,54039,52382,57741,62439
106,80646,84431,81848,89430,102521,129856
107,221399,252372,270586,332139,353498,391813
108,136466,169844,191005,213922,185863,202961
109,233287,262754,294412,385430,336975,391734
110,105544,103447,116813,134750,131056,115866
111,101744,112240,117216,159644,131730,164570
112,48498,49517,57921,59569,61033,58430
113,51906,95223,120289,146555,158947,208076
114,91065,116378,108285,124813,124722,134165
115,44589,37992,40284,43211,51275,44833
116,71528,87782,122311,142049,143868,149602
117,69874,72361,79183,76309,77805,94818
118,45565,55249,48511,53550,50451,59404
119,41561,40580,41002,42364,38668,30828
120,38557,46748,47529,47248,47338,45551
121,94374,94254,115372,116142,114044,202135
122,54935,58542,59399,65730,70932,71129
123,57026,70946,61172,78353,73416,96899
124,35025,41786,45207,48875,55195,54240
125,47528,53927,60832,66477,72090,98467
126,52128,64792,76137,83263,98574,125421
127,43047,71343,73006,67497,65679,67680
128,67443,83704,87467,80398,84947,93104
129,115234,141272,168851,188709,215881,291837
130,70906,67512,73432,73732,81309,82567
131,99662,108972,123212,131161,143803,121963
132,129348,138994,130159,135636,147727,157955
133,65966,81289,86945,93178,93690,92408
134,92045,121814,119908,124863,119176,127683
135,66201,67489,83116,87237,102869,105436
136,49593,58473,62475,65806,67028,65921
137,38867,178132,193486,197285,187405,189266
138,78680,96194,98807,108225,110085,120699
139,106892,115619,131979,150753,147442,147536
140,66869,74226,84736,75833,76466,70687
141,49126,41585,44847,50678,51034,39568
142,142124,161411,195579,198483,221479,232157
143,22805,21729,27308,28044,25671,29291
144,67796,64623,64711,79994,86044,86413
145,104677,111610,124019,134726,126609,154763
146,36358,43898,40958,44912,45932,53795
147,69342,66464,73018,81041,87153,123585
148,40177,46455,41540,41325,41594,41674
149,88423,95487,99694,102636,110425,95619
150,33075,52706,51885,48585,46303,37837
151,24258,32948,30081,28511,33921,34252
152,60311,73192,82112,77195,90967,96248
153,53626,61662,67144,72980,85468,92324
154,104048,113712,132905,129737,159658,158218
155,97579,101290,116105,123832,131452,162046
156,170832,243573,348659,480073,522752,597477
157,71004,79692,80476,82959,114958,124449
158,97749,106630,136363,163181,184044,198023
159,79457,63530,66976,91157,98826,116485
160,49328,46588,72398,68407,106219,80541
161,121764,139461,171440,160376,137756,168705
162,75528,64755,78692,75241,78010,78491
163,74882,78873,102088,94820,108988,128355
164,161817,131897,165692,182620,212940,271428
165,139122,134697,143320,138930,160822,159299
166,178302,205719,245577,281387,288725,318328
167,62082,61370,74706,75053,106706,94319
168,63138,72078,101621,102723,114259,114044
169,65401,74616,82092,96424,104591,97239
170,44675,39605,43507,47487,52008,54888
171,28395,29762,32329,30316,29072,29970
172,32014,30367,32133,30870,31247,32287
173,49542,39531,37880,43372,43745,46465
174,50346,57405,55291,58628,46193,57460
175,65367,80359,76191,80790,72557,126802
176,82339,76223,88759,81199,81572,91139
177,41175,47695,76337,84941,77972,87269
178,78420,81432,73828,94562,83808,95150
179,94694,86790,86393,88241,96904,103334
180,119919,175605,165482,151335,192379,172736
181,82529,87097,88974,93025,96080,109998
182,53316,37414,37845,37313,23547,25744
183,129671,132103,135246,159143,156745,153822
184,210308,207620,203829,251507,240209,232819
185,69233,65054,64722,70263,76760,83545
186,113074,135591,136637,133029,211247,214459
187,62872,63974,68040,72057,87842,76548
188,160573,157993,167971,182791,178674,180216
189,119893,127880,143506,166974,175899,181445
190,53994,51101,57409,56738,59109,60598
191,85656,80226,81805,78710,85997,87610
192,48648,51043,55151,61345,61493,72478
193,121987,133301,135269,159770,138600,162414
194,58504,56286,50045,57823,67261,49529
195,39950,43966,42382,41765,45978,34608
196,153597,212942,222319,224352,415908,462019
197,65776,75274,69830,77247,69890,75076
198,38236,29456,22724,28801,30131,37316
199,43460,54972,44850,41997,41120,46837
200,218878,230207,263222,283109,270141,313553
201,111179,117937,122378,125148,120644,144592
202,67656,72701,63739,55660,62173,52308
203,62584,75982,77753,79134,81027,84486
204,63591,64743,68707,70812,73343,81143
205,57435,60466,61387,78549,103814,106169
206,105106,114099,114038,112255,116282,192701
207,159373,162237,167782,197783,179031,177564
208,73401,85334,101052,130300,142074,144548
209,46336,42466,58866,59200,55008,60087
210,75900,74198,87072,102865,131787,119312
211,66295,74975,87074,101281,108684,112034
212,55745,53670,65618,69046,86633,78501
213,41401,39052,35002,47608,48637,54433
214,82113,94612,90346,113814,103879,104351
215,114279,109286,122334,108708,105264,117529
216,20530,22542,23671,18749,25296,19505
217,125520,138624,142604,145333,155077,157722
218,105395,105887,130873,122046,124335,132483
219,140387,151817,179771,196560,211073,215449
220,78569,85506,87171,98107,90603,134235
221,119228,166569,198855,251637,226906,183395
222,27515,30384,24760,31571,47126,52593
223,55293,56930,60864,62837,70539,66042
224,126501,138362,157994,165753,153886,177156
225,121605,108871,112364,155252,143717,147640
226,23235,22812,16419,14410,22751,20974
227,45396,46781,46893,60133,60566,58085
228,76948,78582,83574,102529,93908,85766
229,107036,130464,146161,134504,148108,160256
230,56124,62913,61837,68970,74783,92956
231,57841,73941,78968,78428,73633,80754
232,37514,39936,46043,59315,69151,83421
233,102763,119215,128560,147035,154668,182648
234,353028,346933,508254,523897,586760,727281
235,71898,92248,97598,95420,99725,112029
236,132839,175464,197555,183693,184108,179791
237,42783,49853,53643,53000,61539,57501
238,46574,38149,36266,38888,40770,40972
239,69910,69661,69409,57856,52998,57976
240,88024,111807,117570,124309,150420,164886
241,30154,25312,30278,27251,26124,34046
242,31338,40763,35776,33815,29958,31241
243,58971,66451,67307,63712,69962,66454
244,38561,47999,50455,62505,50560,48939
245,37672,36579,39528,62812,68712,86515
246,85047,110944,105841,99264,109519,102696
247,32436,37479,44306,38803,43557,63777
Grand Total,25318418,28183232,31111145,34191256,36266485,39229432
