stock,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
AA,16.595,17.0275,16.07541667,16.50791667,125054776.6,-0.473333333,-4.463785512,130897772.4,16.53291667,16.52208333,-0.065525885,49.375,0.182916667
AXP,46.62083333,47.65041667,45.70125,46.81041667,34796249.92,0.440833333,-1.209477496,35222255.17,46.79958333,47.06416667,0.565354051,43.54166667,0.385833333
BA,73.595,74.96583333,71.87833333,73.6175,23261558.04,0.060833333,-0.990104655,23494174.96,73.67916667,73.7925,0.153820049,47.91666667,0.5725
BAC,13.1475,13.40333333,12.735,13.00166667,692564156.3,-1.1375,-4.866909286,727995013.2,12.99541667,12.82833333,-1.285709756,46.16666667,0.0775
CAT,103.4291667,105.97625,100.31375,103.5445833,34130916.42,0.188333333,2.449732703,33314793.04,103.7104167,104.1533333,0.427070505,48.79166667,0.434166667
CSCO,18.02541667,18.34208333,17.48833333,17.77125,360958075.6,-1.33375,1.478123279,355700385.4,17.77541667,17.54833333,-1.277513457,46.625,0.340416667
CVX,101.265,103.4166667,99.18166667,101.5916667,38705810.67,0.375833333,0.76570373,38411690.92,101.55625,102.0608333,0.496851055,46.91666667,0.718333333
DD,52.8175,53.935,51.51375,53.00333333,29177403.29,0.402916667,1.029999402,28879940.08,52.96541667,53.19791667,0.438965677,44.83333333,0.775
DIS,41.33833333,42.11708333,40.42541667,41.32458333,46382258.96,-0.006666667,-1.981902545,47320097.17,41.28041667,41.3425,0.150394146,248.5416667,0.969583333
GE,19.89041667,20.285,19.42,19.84041667,263262727,-0.237083333,0.251210381,262603040.9,19.865,19.85625,-0.044047319,54.70833333,0.710416667
HD,36.58875,37.34666667,35.98833333,36.65083333,47856222.54,0.210833333,0.775632805,47487890.88,36.625,36.68583333,0.166097829,44.29166667,0.682083333
HPQ,41.71666667,42.60791667,40.45416667,41.38833333,94643334.63,-0.77625,0.121379407,94528596.38,41.30791667,41.005,-0.73331384,43,0.273333333
IBM,162.8270833,165.7625,160.7091667,163.73375,24791115.33,0.591666667,-0.08535708,24812294.38,163.6079167,164.75625,0.701881256,44.45833333,0.4475
INTC,21.42083333,22.1525,20.96333333,21.4675,295368366.2,0.265833333,-1.084041812,298605373.3,21.44,21.52791667,0.410059095,48.625,0.884583333
JNJ,62.4575,63.41875,61.71791667,62.62458333,55932412.13,0.282916667,-0.09226188,55984064.08,62.57875,62.8225,0.389509218,44.45833333,0.8975
JPM,44.59666667,45.505,43.56125,44.53541667,147632397,-0.135416667,-1.854732487,150422328.8,44.43541667,44.39666667,-0.087205214,43.54166667,0.563333333
KO,65.2575,66.31625,64.47125,65.42666667,37670918.21,0.271666667,-1.093490983,38087400.5,65.34708333,65.63333333,0.438045564,41.95833333,0.719583333
KRFT,32.40958333,32.96833333,31.60625,32.61458333,44809687.96,0.641666667,-0.48129692,45026398.63,32.56375,32.78666667,0.684554666,42.83333333,0.891666667
MCD,77.12291667,78.34583333,76.31291667,77.39125,29932992.92,0.352083333,-7.362753347,32312049.42,77.42541667,77.87416667,0.579590036,41.83333333,0.789166667
MMM,91.72916667,93.38708333,90.30541667,91.92583333,15701017.46,0.241666667,-0.275466662,15744388,91.95333333,92.28291667,0.35842457,47.33333333,0.6
MRK,34.30041667,34.91625,33.7275,34.23583333,76941058.08,-0.143333333,-0.517042386,77340943.54,34.18958333,34.29291667,0.302236324,41.95833333,1.1125
MSFT,25.96291667,26.6325,25.495,25.80916667,288075985.5,-0.56875,-0.280387054,288885984.4,25.7975,25.71416667,-0.323028704,46.33333333,0.6225
PFE,19.8,20.24208333,19.50791667,19.88333333,220827884.4,0.465416667,-2.350232732,226142765.7,19.87833333,19.98375,0.530309399,48.79166667,1.007916667
PG,64.00333333,64.8325,62.72291667,63.98125,48500162.88,-0.025,0.060331205,48470919.79,63.935,63.92875,-0.009775553,49.95833333,0.825416667
T,29.61,30.0575,29.11166667,29.65916667,131222853.5,0.177083333,-1.309578895,132964123.6,29.69791667,29.79458333,0.325499802,37.20833333,1.4525
TRV,59.23625,60.23125,58.33458333,59.40291667,17038311.54,0.32125,0.232697147,16998755.92,59.39083333,59.58958333,0.334647603,45.25,0.66375
UTX,83.98833333,85.40791667,82.52416667,84.23958333,18423078.5,0.325416667,1.138527801,18215687.83,84.2275,84.7,0.560980677,47.33333333,0.558333333
VZ,36.54,37.05666667,35.88041667,36.49208333,75737148.04,-0.115,-3.172869613,78218932.79,36.51708333,36.58958333,0.198537214,47.04166667,1.344166667
WMT,53.8575,54.73041667,53.13333333,53.90583333,55366860.92,0.094583333,0.863145876,54893053.79,53.80208333,53.85166667,0.092158773,42.08333333,0.68625
XOM,82.30166667,83.90708333,80.57583333,82.38333333,93354015.88,0.145416667,0.761790861,92648230.13,82.37458333,82.55708333,0.22154892,42.08333333,0.560833333